"Zaman damgası","Yaşınız nedir?","Cinsiyetiniz nedir?","Eğitim durumunuz nedir?","Bulunduğunuz bölge hangisidir?","Çalışma durumunuz nedir?","Aylık gelir düzeyiniz nedir?","STK’ların toplum üzerindeki etkisini nasıl değerlendiriyorsunuz?","STK’ların finansman sağlama konusunda en büyük zorluğu nedir?","STK’ların gücünü arttırmak için hangi stratejiler izlenmeli?","Topluma fayda sağlamak adına STK'ların etkisini nasıl görüyorsunuz?","STK’lar gençlerin ilgisini çekmek için ne yapmalı?","Toplumun STK’lara olan güvenini nasıl değerlendiriyorsunuz?","STK'ların kurumsal firmalarla ortak projeler yürütmesini destekliyor musunuz?","STK'ların uluslararası iş birlikleri hakkında ne düşünüyorsunuz?","STK'ların toplumsal bilinç oluşturma konusunda başarısı nedir?","Sizce STK'lar hangi alanlarda daha fazla faaliyet göstermeli?","STK'ların bağımsız ve tarafsız olması gerektiğine inanıyor musunuz?","STK'ların devlet desteklerinden faydalanması hakkında düşünceniz nedir?","STK’ların dijital dünyada daha fazla yer alması gerektiğini düşünüyor musunuz?","Bir STK’ya destek vermeyi tercih ettiğiniz yöntemler hangileridir?","Gönüllü olarak çalışmayı tercih etmenizde aşağıdakilerden hangisi en etkili faktör olur?","Kanser ile mücadele eden bu kuruluşlardan hangilerini tanıyorsunuz?","KİTVAK'ı daha önce duymuş muydunuz?","Bir önceki soruya ""Evet"" cevabını verdiyseniz KİTVAK'ı nereden duydunuz?","KİTVAK’ın logosunu daha önce gördünüz mü?","KİTVAK’ın logosunu gördüğünüzde size ne ifade ediyor?","Sizce bu logo KİTVAK'ın amacını doğrudan aktarıyor mu?","Sizce KİTVAK’ın logosu yenilenmeli mi?","Siz olsaydınız KİTVAK Derneğinin logosunda hangi sembollerin olmasını daha doğru bulurdunuz?"
"2024/12/04 12:05:00 ÖS GMT+3","45-54","Kadın","Doktora","Ege","Çalışıyorum","30.000 TL ve üzeri","Orta düzeyde","Bağış eksikliği","İş birliği artırma;Öğrenci liderliğindeki girişimleri kolaylaştırmalı;Esnek gönüllü seçenekleri sunmalı","Etkili","Dijital katılım iyileştirilmeli;Öğrenci liderliğindeki girişimler kolaylaştırılmalı;Eğitim ortaklıkları geliştirilmeli;Kampüs varlığı güçlendirilmeli;Sosyal medyada daha aktif olunmalı;Gençlik programları oluşturulmalı","Orta seviyede","Evet","Çok önemli","Orta düzeyde","Çevre;Eğitim;Sağlık;İnsan hakları;Hayvan hakları","Evet","Tamamen destekliyorum","Kesinlikle evet","Maddi bağış;Sosyal medyada paylaşım yapmak","Topluma katkıda bulunma","LÖSEV (Lösemili Çocuklar Vakfı);KİTVAK (Kemik İliği Transplantasyon ve Onkoloji Merkezi Kurma ve Geliştirme Vakfı)","Evet","Sosyal medya (Instagram, Facebook, Twitter, LinkedIn vb.)","Evet, hatırlıyorum ve tanıyorum.","Dayanışma ve yardımlaşma","Hayır, logo KİTVAK'ın amacını tam olarak yansıtmıyor.","Kesinlikle evet","DNA sarmalı (KİTVAK’ın bilimsel ve tıbbi kimliğini vurgular)."
"2024/12/04 2:45:38 ÖS GMT+3","55 ve üzeri","Kadın","Üniversite","Ege","Sigorta ","20.000-30.000 TL","Etkili","Devlet desteği azlığı","Gönüllüleri tanıtmalı ve motive etmeli","Çok etkili","Sosyal medyada daha aktif olunmalı","Orta seviyede","Evet","Çok önemli","Orta düzeyde","Çevre;Eğitim;İnsan hakları;Hayvan hakları","Evet","Tamamen destekliyorum","Kesinlikle evet","Maddi bağış;Gönüllü olarak çalışmak;Etkinliklere katılmak","Topluma katkıda bulunma","LÖSEV (Lösemili Çocuklar Vakfı);KİTVAK (Kemik İliği Transplantasyon ve Onkoloji Merkezi Kurma ve Geliştirme Vakfı)","Evet","Diğer sivil toplum kuruluşları veya ortak projeler","Evet, hatırlıyorum ve tanıyorum.","Dayanışma ve yardımlaşma","Evet, logo KİTVAK'ın amacını açıkça yansıtıyor.","Hayır","Açan Çiçek (KİTVAK'ın hastalara sunduğu umut ve iyileşme sürecini vurgular)."
"2024/12/05 2:33:13 ÖS GMT+3","25-34","Erkek","Üniversite","Ege","Çalışıyorum","20.000-30.000 TL","Az etkili","Yönetim sorunları","Daha fazla reklam ve tanıtım yapmalı","Az etkili","Sosyal medyada daha aktif olunmalı","Orta seviyede","Evet","Çok önemli","Başarılı","Sağlık","Evet","Kısmen destekliyorum","Kesinlikle evet","Bilgi paylaşımı veya önerilerde bulunmak","Kişisel gelişim","LÖSEV (Lösemili Çocuklar Vakfı)","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Eğitim ve farkındalık","Hayır, logo KİTVAK'ın amacını tam olarak yansıtmıyor.","Evet","Bir ev veya çatı figürü (barınma, destek vurgusu ve KİTVAK’ın konukevi projelerine atıfta bulunur)."
"2024/12/05 2:33:24 ÖS GMT+3","25-34","Kadın","Üniversite","Ege","Çalışıyorum","10.000-20.000 TL","Orta düzeyde","Devlet desteği azlığı","Daha fazla reklam ve tanıtım yapmalı;İş birliği artırma;Liderliği ve yeniliği teşvik etmeli","Orta düzeyde","Dijital katılım iyileştirilmeli;Etkinlik düzenlenmeli","Az güveniyor","Evet","Çok önemli","Orta düzeyde","Çevre;Sağlık;İnsan hakları;Hayvan hakları","Evet","Tamamen destekliyorum","Kesinlikle evet","Maddi bağış;Sosyal medyada paylaşım yapmak","Topluma katkıda bulunma","LÖSEV (Lösemili Çocuklar Vakfı);Türk Kanser Derneği","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Dayanışma ve yardımlaşma","Evet, logo KİTVAK'ın amacını açıkça yansıtıyor.","Hayır","Elleri içeren bir sembol (hastalara ve ailelerine verilen desteği temsil eder)."
"2024/12/05 2:37:14 ÖS GMT+3","18-24","Erkek","Üniversite","Ege","Öğrenci","5.000-10.000 TL","Orta düzeyde","Devlet desteği azlığı","Daha fazla reklam ve tanıtım yapmalı;Dijital katılımı iyileştirilmeli","Orta düzeyde","Eğitim ortaklıkları geliştirilmeli;Liderliği ve yeniliği teşvik etmeli","Orta seviyede","Kararsızım","Orta düzeyde","Orta düzeyde","Hayvan hakları","Evet","Kısmen destekliyorum","Kesinlikle evet","Gönüllü olarak çalışmak;Etkinliklere katılmak","Kişisel gelişim","LÖSEV (Lösemili Çocuklar Vakfı);KAÇUV (Kanserli Çocuklara Umut Vakfı);Türk Kanser Derneği","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Dayanışma ve yardımlaşma","Kısmen, bazı unsurlar açıklayıcı ama daha fazla netlik eklenebilir.","Evet","DNA sarmalı (KİTVAK’ın bilimsel ve tıbbi kimliğini vurgular)."
"2024/12/05 2:38:50 ÖS GMT+3","18-24","Kadın","Üniversite","Marmara","Sporcu","30.000 TL ve üzeri","Etkili","Devlet desteği azlığı","Dijital katılımı iyileştirilmeli","Etkili","Dijital katılım iyileştirilmeli","Orta seviyede","Evet","Çok önemli","Orta düzeyde","Hayvan hakları","Hayır","Kısmen destekliyorum","Kesinlikle evet","Maddi bağış;Etkinliklere katılmak;Sosyal medyada paylaşım yapmak","Topluma katkıda bulunma","LÖSEV (Lösemili Çocuklar Vakfı);KAÇUV (Kanserli Çocuklara Umut Vakfı)","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Dayanışma ve yardımlaşma","Kısmen, bazı unsurlar açıklayıcı ama daha fazla netlik eklenebilir.","Evet","DNA sarmalı (KİTVAK’ın bilimsel ve tıbbi kimliğini vurgular)."
"2024/12/05 2:40:04 ÖS GMT+3","25-34","Erkek","Yüksek Lisans","Ege","Çalışıyorum","30.000 TL ve üzeri","Etkili","Devlet desteği azlığı","Daha fazla reklam ve tanıtım yapmalı;İş birliği artırma","Etkili","Dijital katılım iyileştirilmeli;Öğrenci liderliğindeki girişimler kolaylaştırılmalı;Eğitim ortaklıkları geliştirilmeli;Kampüs varlığı güçlendirilmeli;Liderliği ve yeniliği teşvik etmeli;Sosyal medyada daha aktif olunmalı","Orta seviyede","Kararsızım","Orta düzeyde","Orta düzeyde","Eğitim;İnsan hakları;Hayvan hakları","Evet","Kısmen destekliyorum","Kesinlikle evet","Bilgi paylaşımı veya önerilerde bulunmak","Sosyal çevre oluşturma","LÖSEV (Lösemili Çocuklar Vakfı);Türk Kanser Derneği;Kanser Savaşçıları Derneği","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Hiçbir şey çağrıştırmıyor","Hayır, logo KİTVAK'ın amacını tam olarak yansıtmıyor.","Evet","Açan Çiçek (KİTVAK'ın hastalara sunduğu umut ve iyileşme sürecini vurgular)."
"2024/12/05 2:45:01 ÖS GMT+3","25-34","Erkek","Lise","Ege","Çalışıyorum","30.000 TL ve üzeri","Etkili","Devlet desteği azlığı","Daha fazla reklam ve tanıtım yapmalı","Çok etkili","Dijital katılım iyileştirilmeli","Çok güveniyor","Evet","Önemli","Başarılı","Eğitim","Evet","Tamamen destekliyorum","Kesinlikle evet","Maddi bağış","Yardım etme isteği","LÖSEV (Lösemili Çocuklar Vakfı)","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Hiçbir şey çağrıştırmıyor","Kısmen, bazı unsurlar açıklayıcı ama daha fazla netlik eklenebilir.","Kararsızım","Elleri içeren bir sembol (hastalara ve ailelerine verilen desteği temsil eder)."
"2024/12/05 2:47:55 ÖS GMT+3","25-34","Erkek","Üniversite","Güneydoğu Anadolu","Çalışıyorum","30.000 TL ve üzeri","Etkili","Yönetim sorunları","Daha fazla reklam ve tanıtım yapmalı;İş birliği artırma;Dijital katılımı iyileştirilmeli;Öğrenci liderliğindeki girişimleri kolaylaştırmalı","Etkili","Kampüs varlığı güçlendirilmeli;Liderliği ve yeniliği teşvik etmeli;Esnek gönüllü seçenekleri sunulmalı;Sosyal medyada daha aktif olunmalı","Güveniyor","Hayır","Orta düzeyde","Başarılı","Sağlık","Hayır","Kısmen destekliyorum","Evet","Gönüllü olarak çalışmak;Sosyal medyada paylaşım yapmak","Topluma katkıda bulunma","LÖSEV (Lösemili Çocuklar Vakfı);KAÇUV (Kanserli Çocuklara Umut Vakfı);Türk Kanser Derneği;Kanser Savaşçıları Derneği","Evet","Hastaneler veya sağlık kuruluşları","Evet, hatırlıyorum ve tanıyorum.","Eğitim ve farkındalık","Evet, logo KİTVAK'ın amacını açıkça yansıtıyor.","Evet","Bir ev veya çatı figürü (barınma, destek vurgusu ve KİTVAK’ın konukevi projelerine atıfta bulunur)."
"2024/12/05 2:49:31 ÖS GMT+3","18-24","Erkek","Üniversite","Ege","Öğrenci","5.000-10.000 TL","Orta düzeyde","Yönetim sorunları","Gönüllüleri tanıtmalı ve motive etmeli","Orta düzeyde","Öğrenci liderliğindeki girişimler kolaylaştırılmalı;Sosyal medyada daha aktif olunmalı;Etkinlik düzenlenmeli","Orta seviyede","Kararsızım","Önemli","Orta düzeyde","Çevre;Eğitim;Sağlık;İnsan hakları;Hayvan hakları","Evet","Kısmen destekliyorum","Evet","Gönüllü olarak çalışmak","Kişisel gelişim","LÖSEV (Lösemili Çocuklar Vakfı)","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Dayanışma ve yardımlaşma","Evet, logo KİTVAK'ın amacını açıkça yansıtıyor.","Hayır","Elleri içeren bir sembol (hastalara ve ailelerine verilen desteği temsil eder)."
